gl_account,account_description,account_group,account_type
100000,Cash - Operating Account,Assets,Balance Sheet
100001,Bank - Main Account,Assets,Balance Sheet
100002,Accounts Receivable,Assets,Balance Sheet
200000,Accounts Payable,Liabilities,Balance Sheet
600001,Depreciation Expense,Expenses,P&L
100003,synergize scalable functionalities,Assets,Balance Sheet
100004,engineer granular e-services,Assets,Balance Sheet
100005,innovate extensible communities,Assets,Balance Sheet
100006,repurpose end-to-end models,Assets,Balance Sheet
100007,syndicate dot-com web services,Assets,Balance Sheet
100008,innovate world-class synergies,Assets,Balance Sheet
100009,drive user-centric relationships,Assets,Balance Sheet
100010,synergize next-generation e-services,Assets,Balance Sheet
100011,engineer world-class partnerships,Assets,Balance Sheet
100012,unleash transparent users,Assets,Balance Sheet
100013,unleash B2C initiatives,Assets,Balance Sheet
100014,maximize back-end architectures,Assets,Balance Sheet
100015,e-enable plug-and-play channels,Assets,Balance Sheet
100016,visualize extensible experiences,Assets,Balance Sheet
100017,scale granular mindshare,Assets,Balance Sheet
100018,mesh revolutionary platforms,Assets,Balance Sheet
100019,repurpose dynamic deliverables,Assets,Balance Sheet
100020,deliver distributed experiences,Assets,Balance Sheet
100021,synergize impactful markets,Assets,Balance Sheet
100022,embrace efficient infrastructures,Assets,Balance Sheet
100023,deliver proactive vortals,Assets,Balance Sheet
100024,integrate turn-key info-mediaries,Assets,Balance Sheet
100025,unleash one-to-one bandwidth,Assets,Balance Sheet
100026,iterate vertical solutions,Assets,Balance Sheet
100027,disintermediate 24/7 supply-chains,Assets,Balance Sheet
100028,extend efficient systems,Assets,Balance Sheet
100029,unleash plug-and-play e-commerce,Assets,Balance Sheet
100030,revolutionize interactive architectures,Assets,Balance Sheet
100031,unleash value-added applications,Assets,Balance Sheet
100032,disintermediate ubiquitous web services,Assets,Balance Sheet
100033,envisioneer transparent mindshare,Assets,Balance Sheet
100034,engage front-end schemas,Assets,Balance Sheet
100035,disintermediate customized e-services,Assets,Balance Sheet
100036,brand global relationships,Assets,Balance Sheet
100037,exploit 24/7 portals,Assets,Balance Sheet
100038,leverage out-of-the-box schemas,Assets,Balance Sheet
100039,seize real-time portals,Assets,Balance Sheet
100040,redefine real-time relationships,Assets,Balance Sheet
100041,enhance B2B functionalities,Assets,Balance Sheet
100042,synthesize scalable functionalities,Assets,Balance Sheet
100043,integrate impactful communities,Assets,Balance Sheet
100044,re-intermediate front-end web-readiness,Assets,Balance Sheet
100045,unleash 24/7 functionalities,Assets,Balance Sheet
100046,mesh 24/365 interfaces,Assets,Balance Sheet
100047,benchmark magnetic systems,Assets,Balance Sheet
100048,productize best-of-breed applications,Assets,Balance Sheet
100049,morph cross-platform communities,Assets,Balance Sheet
100050,benchmark sticky applications,Assets,Balance Sheet
100051,syndicate end-to-end eyeballs,Assets,Balance Sheet
100052,benchmark integrated mindshare,Assets,Balance Sheet
100053,embrace collaborative partnerships,Assets,Balance Sheet
100054,synergize bleeding-edge functionalities,Assets,Balance Sheet
100055,extend bleeding-edge supply-chains,Assets,Balance Sheet
100056,embrace efficient relationships,Assets,Balance Sheet
100057,cultivate innovative web services,Assets,Balance Sheet
100058,enhance proactive info-mediaries,Assets,Balance Sheet
100059,visualize sticky deliverables,Assets,Balance Sheet
100060,integrate mission-critical e-tailers,Assets,Balance Sheet
100061,iterate dot-com e-services,Assets,Balance Sheet
100062,scale compelling initiatives,Assets,Balance Sheet
100063,redefine synergistic synergies,Assets,Balance Sheet
100064,e-enable one-to-one methodologies,Assets,Balance Sheet
100065,grow global e-services,Assets,Balance Sheet
100066,target turn-key ROI,Assets,Balance Sheet
100067,transform magnetic systems,Assets,Balance Sheet
100068,evolve compelling applications,Assets,Balance Sheet
100069,re-intermediate B2B portals,Assets,Balance Sheet
100070,enhance transparent e-tailers,Assets,Balance Sheet
100071,engage customized e-commerce,Assets,Balance Sheet
100072,synergize killer e-commerce,Assets,Balance Sheet
100073,generate cross-platform markets,Assets,Balance Sheet
100074,monetize scalable infrastructures,Assets,Balance Sheet
100075,productize bleeding-edge methodologies,Assets,Balance Sheet
100076,enhance frictionless functionalities,Assets,Balance Sheet
100077,monetize cross-media e-markets,Assets,Balance Sheet
100078,target 24/7 portals,Assets,Balance Sheet
100079,whiteboard back-end web-readiness,Assets,Balance Sheet
100080,unleash next-generation ROI,Assets,Balance Sheet
100081,brand seamless portals,Assets,Balance Sheet
100082,transform best-of-breed niches,Assets,Balance Sheet
100083,redefine bleeding-edge architectures,Assets,Balance Sheet
100084,disintermediate compelling mindshare,Assets,Balance Sheet
100085,extend impactful experiences,Assets,Balance Sheet
100086,maximize cutting-edge infrastructures,Assets,Balance Sheet
100087,re-intermediate sticky systems,Assets,Balance Sheet
100088,revolutionize scalable communities,Assets,Balance Sheet
100089,revolutionize B2C models,Assets,Balance Sheet
100090,unleash granular applications,Assets,Balance Sheet
100091,productize enterprise e-tailers,Assets,Balance Sheet
100092,engage sticky e-commerce,Assets,Balance Sheet
100093,target back-end infrastructures,Assets,Balance Sheet
100094,grow B2C experiences,Assets,Balance Sheet
100095,unleash impactful technologies,Assets,Balance Sheet
100096,iterate 24/365 networks,Assets,Balance Sheet
100097,revolutionize frictionless relationships,Assets,Balance Sheet
100098,drive virtual systems,Assets,Balance Sheet
100099,matrix back-end e-business,Assets,Balance Sheet
100100,incentivize robust architectures,Assets,Balance Sheet
100101,scale B2C supply-chains,Assets,Balance Sheet
200002,enhance revolutionary convergence,Liabilities,Balance Sheet
200003,transform visionary content,Liabilities,Balance Sheet
200004,exploit compelling solutions,Liabilities,Balance Sheet
200005,disintermediate world-class markets,Liabilities,Balance Sheet
200006,embrace rich content,Liabilities,Balance Sheet
200007,generate sticky content,Liabilities,Balance Sheet
200008,grow web-enabled applications,Liabilities,Balance Sheet
200009,harness wireless web services,Liabilities,Balance Sheet
200010,leverage cutting-edge e-markets,Liabilities,Balance Sheet
200011,deliver visionary e-markets,Liabilities,Balance Sheet
200012,revolutionize next-generation methodologies,Liabilities,Balance Sheet
200013,strategize frictionless e-markets,Liabilities,Balance Sheet
200014,re-contextualize viral eyeballs,Liabilities,Balance Sheet
200015,brand B2B web-readiness,Liabilities,Balance Sheet
200016,strategize 24/7 initiatives,Liabilities,Balance Sheet
200017,brand cutting-edge info-mediaries,Liabilities,Balance Sheet
200018,empower 24/365 infrastructures,Liabilities,Balance Sheet
200019,synthesize B2B niches,Liabilities,Balance Sheet
200020,envisioneer frictionless architectures,Liabilities,Balance Sheet
200021,redefine global vortals,Liabilities,Balance Sheet
200022,incentivize end-to-end metrics,Liabilities,Balance Sheet
200023,envisioneer mission-critical systems,Liabilities,Balance Sheet
200024,incubate rich methodologies,Liabilities,Balance Sheet
200025,utilize rich partnerships,Liabilities,Balance Sheet
200026,architect proactive supply-chains,Liabilities,Balance Sheet
200027,implement intuitive bandwidth,Liabilities,Balance Sheet
200028,enhance out-of-the-box paradigms,Liabilities,Balance Sheet
200029,architect wireless e-tailers,Liabilities,Balance Sheet
200030,aggregate 24/365 ROI,Liabilities,Balance Sheet
200031,integrate B2B methodologies,Liabilities,Balance Sheet
